epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,1911.11,0.79744,0.5734,0.97565,0.9569,0.98374,0.99123,0.78314,0.82279,0.49788,0.96918,0.0003764,0.0003764,0.0003764
84,1932.51,0.76612,0.55498,0.95332,0.94569,0.99187,0.99052,0.80509,0.77296,0.49005,0.95988,0.0003566,0.0003566,0.0003566
85,1957.03,0.74487,0.56859,0.95528,0.94598,0.99666,0.98869,0.81313,0.75899,0.48793,0.95258,0.0003368,0.0003368,0.0003368
86,1983.65,0.75152,0.58819,0.9752,0.96797,0.98273,0.99158,0.81011,0.75349,0.48912,0.95265,0.000317,0.000317,0.000317
87,2004.82,0.73862,0.5467,0.94663,0.95983,0.97561,0.99127,0.81182,0.74481,0.47073,0.94819,0.0002972,0.0002972,0.0002972
88,2025.42,0.71235,0.53337,0.93623,0.96741,0.96537,0.99076,0.8145,0.75061,0.47101,0.94997,0.0002774,0.0002774,0.0002774
89,2049.11,0.7355,0.5774,0.9703,0.95947,0.96234,0.98888,0.80873,0.75158,0.47323,0.93563,0.0002576,0.0002576,0.0002576
90,2069.87,0.71656,0.53523,0.93517,0.95179,0.96297,0.98806,0.80827,0.74562,0.48406,0.92752,0.0002378,0.0002378,0.0002378
91,2095.29,0.64775,0.50217,0.9428,0.98324,0.95416,0.98902,0.81499,0.71581,0.45036,0.92114,0.000218,0.000218,0.000218
92,2121.72,0.68024,0.53315,0.96273,0.97534,0.96472,0.99105,0.83235,0.67014,0.43603,0.90673,0.0001982,0.0001982,0.0001982
93,2144.81,0.6485,0.47286,0.93109,0.97526,0.96135,0.99169,0.82993,0.68286,0.4394,0.91154,0.0001784,0.0001784,0.0001784
94,2166.27,0.6243,0.47314,0.92388,0.97297,0.96748,0.99114,0.82512,0.69582,0.45958,0.91887,0.0001586,0.0001586,0.0001586
95,2187.65,0.61339,0.49418,0.92019,0.97421,0.95935,0.99169,0.82878,0.69772,0.4566,0.9189,0.0001388,0.0001388,0.0001388
96,2210.47,0.69808,0.53408,0.97895,0.96502,0.96748,0.99037,0.82554,0.71031,0.46255,0.92239,0.000119,0.000119,0.000119
97,2231.49,0.62781,0.58299,0.907,0.98542,0.95935,0.99008,0.82028,0.71609,0.4711,0.92495,9.92e-05,9.92e-05,9.92e-05
98,2253.46,0.66512,0.49871,0.96025,0.97667,0.95935,0.99037,0.82519,0.70396,0.46219,0.91918,7.94e-05,7.94e-05,7.94e-05
99,2276.21,0.62014,0.45396,0.91493,0.98338,0.96195,0.9915,0.82701,0.69512,0.45307,0.9173,5.96e-05,5.96e-05,5.96e-05
100,2297.51,0.62528,0.47094,0.93896,0.97681,0.96748,0.99095,0.83847,0.68508,0.44198,0.91393,3.98e-05,3.98e-05,3.98e-05
